group	label	ns	tau	cov	rc	pr	f
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.630	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.640	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.650	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.660	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.670	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.680	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.690	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.700	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.710	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.720	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.730	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.740	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.750	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.760	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.770	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.780	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.790	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.800	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.810	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.820	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.830	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.840	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.850	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.860	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.870	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.880	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.890	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.900	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.910	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.920	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.930	0.912	0.516	0.770	0.618
