filename	ns	tau	cov	pr	rc	f
ipr_submission.tsv	cellular_component	0.01000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.02000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.03000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.04000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.05000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.06000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.07000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.08000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.09000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.10000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.11000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.12000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.13000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.14000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.15000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.16000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.17000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.18000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.19000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.20000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.21000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.22000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.23000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.24000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.25000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.26000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.27000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.28000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.29000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.30000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.31000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.32000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.33000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.34000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.35000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.36000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.37000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.38000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.39000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.40000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.41000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.42000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.43000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.44000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.45000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.46000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.47000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.48000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.49000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.50000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.51000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.52000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.53000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.54000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.55000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.56000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.57000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.58000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.59000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.60000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.61000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.62000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.63000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.64000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.65000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.66000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.67000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.68000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.69000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.70000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.71000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.72000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.73000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.74000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.75000	0.45500	0.92121	0.14891	0.25637
